потым,2
сёлета,2
мацуйцеся,2
дачку,2
колькі,2
злосць,2
другое,2
кажу,2
чыста,2
ласка,2
налева,2
кані,2
затое,2
панну,2
кірмашу,2
напэўна,2
адам,2
поля,2
дарогу,2
точыць,2
рукам,2
усю,2
сказалі,2
зраблю,2
печ,2
чатырыста,2
ева,2
мужыкі,2
весела,2
чорта,2
далікатнасцяй,2
чуваць,2
госць,2
глуп-ства,2
жыццё,2
такога,2
такую,2
клопату,2
дарогі,2
шчыпецца,2
дачушка,2
паветры,2
падзі-спаць,2
якімка,2
дурня,2
кірмаш,2
валокі,2
закусіце,2
пагавораць,2
кінь,2
гатоў,2
няшчасная,2
рабі,2
бяда,2
кніжкі,2
закурыць,2
змалку,2
старожа,2
пяты,2
лезь,2
ласкі,2
паможа,2
спранжыновы,2
дзён,2
чакаць,2
некалі,2
гары,2
прынёс,2
нікому,2
найсвентшая,2
васпанна,2
багатага,2
вашэці,2
карт,2
канчатак,2
пры,2
нічыёй,2
сыпнем,2
думай,2
падзелася,2
дай,2
чуем,2
пакажы,2
якога,2
пасагу,2
нежанатага,2
прывязаны,2
мець,2
стрэльбу,2
вясной,2
пазваленне,2
старую,2
бойся,2
налі,2
дадуць,2
лепшая,2
сцяпан,2
мамкай,2
васпанства,2
нідзе,2
паказаць,2
бацькі,2
думаў,2
жыцця,2
нікога,2
гарэлкі,2
гасцей,2
убярэ,2
адкупім,2
кажаш,2
прасіла,2
каторы,2
міленькі,2
прыжме,2
годзе,2
гаспадарка,2
пекна,2
наладзіць,2
нядобрае,2
дурнем,2
трасецца,2
курыца,2
дае,2
шапку,2
такжа,2
гаманіце,2
мужыцкае,2
тую,2
гуляць,2
ведаеш,2
смела,2
носам,2
ось,2
ажно,2
мацней,2
нашай,2
зробяць,2
быкоўскага,2
трымае,2
глухавата,2
сваё,2
запытацца,2
во,2
пазлуюць,2
насіць,2
і-і,2
якое,2
скажа,2
адразу,2
дзверы,2
гэрц-польку,2
еў,2
направа,2
пайшло,2
абы,2
прыбірай,2
звяры,2
страшэнная,2
далікатнасць,2
зловяць,2
нясе,2
ведаю,2
зусім,2
жыта,2
дакуль,2
госцікі,2
маюць,2
купіў,2
марш,2
год,2
сябе,2
іншы,2
павесіў,2
месца,2
хачу,2
тая,2
адходнае,2
паглядзім,2
мушу,2
доўга,2
патраплю,2
просяць,2
паказалі,2
уперад,2
паглядзіш,2
бацькоў,2
хустку,2
трэ,2
шукае,2
сарокі,2
нейкі,2
нос,2
фі,2
нож,2
га,2
гаспадара,2
лепш,2
нашых,2
сыр,2
дыхту,2
мужыцкую,2
пачакаем,2
заеўся,2
забраць,2
сала,2
прападзе,2
кіньце,2
сарока,2
жарабец,2
любіў,2
паненка,2
будзеце,2
дарма,2
завуся,2
збіраецца,2
вінават,2
нагамі,2
закушу,2
шкодзіць,2
палавіну,2
торг,2
старым,2
нашы,2
а-а,2
словам,2
украў,2
прыедзе,2
пекны,2
чорту,2
старых,2
пытлю,2
бог,2
рынку,2
памяці,2
мінутку,2
новую,2
перш,2
мялі,2
ліха,2
заначуе,2
бык,2
растропны,2
гуляюць,2
сакатушка,2
крамнік,2
пабачым,2
круціцца,2
ваша,2
маладзенькая,2
маладзічкі,2
немач,2
здзеквайцеся,2
гладка,2
разумны,2
паваражыць,2
волю,2
закахаўся,2
прывязаць,2
п,2
пейце,2
гэтае,2
трэці,2
надта,2
пойдзе,2
дзвесце,2
зробім,2
сур,2
бярозавай,2
есці,2
дзякую,2
заўтрашняга,2
падзі-кварту,2
такія,2
божухна,2
хадзіце,2
родны,2
ціха,2
тэй,2
раўнуючы,2
чуеш,2
толку,2
нічагутанькі,2
спяць,2
прывязаў,2
урадніку,2
гэту,2
лёганька,2
пагодзе,2
магу,2
бычок,2
прасіць,2
заставіў,2
матачка,2
ворнай,2
заместа,2
пяе,2
татачка,2
такой,2
вяселля,2
сабой,2
дарагіх,2
несвянцоная,2
нюхае,2
ем,2
знаць,2
ох,2
рублёў,2
волі,2
старайцеся,2
чую,2
плюгаўства,2
знаю,1
чысценька,1
пасвенцім,1
нешпар,1
забудзецца,1
сэрцам,1
ва,1
языком,1
ваўком,1
садзіцца,1
схадзі,1
недарэкай,1
парадашнае,1
сабраліся,1
сцежак,1
масла,1
злаўлю,1
уважаю,1
выбраў,1
зробіцца,1
наладжвацца,1
замарыліся,1
йдуць,1
пляшкай,1
гаспадыні,1
хвала,1
хэ-хэ-хэ,1
узяў,1
бярэш,1
думаць-то,1
гуляеце,1
торгу,1
адэлька,1
асіне,1
госцікам,1
непадмазаных,1
паганяку,1
спраўніку,1
забастоўкі,1
пуд,1
магчымасць,1
пагулялі,1
помстуе,1
пі,1
гоне,1
пятнаццаць,1
сказаў,1
даведацца,1
старая,1
доме,1
свой,1
прынясе,1
трасуся,1
прыстанеш,1
чакаем,1
скранецца,1
складныя,1
заводу,1
мела,1
разе,1
